bookURI/type,bookURI/value,bookName/type,bookName/xml:lang,bookName/value,authorName/type,authorName/xml:lang,authorName/value,authorMovement/type,authorMovement/xml:lang,authorMovement/value,bookGenre/type,bookGenre/xml:lang,bookGenre/value,bookAbstract/type,bookAbstract/xml:lang,bookAbstract/value
uri,http://dbpedia.org/resource/Sartor_Resartus,literal,en,Sartor Resartus,literal,en,Thomas Carlyle,literal,en,Victorian literature,literal,en,Comic novel,literal,en,"Sartor Resartus (meaning 'The tailor re-tailored') is an 1836 novel by Thomas Carlyle, first published as a serial in 1833–34 in Fraser's Magazine. The novel purports to be a commentary on the thought and early life of a German philosopher called Diogenes Teufelsdröckh (which translates as 'god-born devil-dung'), author of a tome entitled ""Clothes: their Origin and Influence"", but was actually a poioumenon. Teufelsdröckh's Transcendentalist musings are mulled over by a skeptical English Reviewer (referred to as Editor) who also provides fragmentary biographical material on the philosopher. The work is, in part, a parody of Hegel, and of German Idealism more generally. However, Teufelsdröckh is also a literary device with which Carlyle can express difficult truths."
uri,http://dbpedia.org/resource/Read_Between_the_Lies,literal,en,Read Between the Lies,literal,en,Lori Bryant-Woolridge,literal,en,Chick lit,literal,en,Novel,literal,en,"Read Between the Lies is the first novel by Emmy-winning author, Lori Bryant-Woolridge. Read Between the Lies combines chick lit and ""beach book"" styles with themes of racial diversity and adult illiteracy."
uri,http://dbpedia.org/resource/Sztafeta,literal,en,Sztafeta,literal,en,Melchior Wańkowicz,literal,en,Modernism,literal,en,Creative nonfiction,literal,en,"Sztafeta (English: Relay race) is a 1939 book of literary reportage written by Melchior Wańkowicz. Sztafeta was published in the year of the Nazi-Soviet invasion of Poland. Due to popular demand it was reprinted four times already by Biblioteka Polska prior to the outbreak of hostilities. The book was never reprinted in Communist Poland because it praised the democratic achievements of the prewar Second Polish Republic. Sztafeta gives an account of one of the biggest economic projects of the interwar Poland, its Central Industrial Area. The book has been described as a ""colorful reporter's panorama, telling the story of the recovery of the Second Polish Republic"". Ryszard Kapuściński wrote that Sztafeta ""was the first grand reportage of its kind in Poland's history – written about Polish production effort"". To write the book, Wańkowicz collected great amount of background information, and carried out dozens of interviews, starting with President of Poland Ignacy Mościcki, ending with sailors, coal miners and primary school teachers. The book begins with analysis of the situation of Poland in 1918, right after World War I. The country was in ruins, with two million houses destroyed, with devastated industry, with poverty, hunger and the threat of a cholera epidemic left behind by the partitioning empires. The author goes on to describe the achievements of the Second Polish Republic, writing not only about the Central Industrial Area, but also about the construction of Gdynia seaport, and the political scandals such as annexation of Zaolzie. The book was disliked by some members of the military establishment in Poland in 1939. As they claimed, Wańkowicz too frequently criticized poverty and backwardness of Poland after a century of foreign occupation.Wańkowicz, who was one of the first Polish modern-day reporters to write about economy, had authored a series of reports about the Central Industrial Area (or Polish Magnitogorsk, as he called the project). They were published in Polish press in late 1937 and early 1938, and became so popular, that Wańkowicz decided to gather four of them in one book, titled C.O.P. Ognisko siły, published in 1938. The book was immediately sold, as Polish readers loved Wańkowicz's optimism, temperament, national pride and honesty. Impressed by popularity of C.O.P. Ognisko siły, Wańkowicz began writing a more extensive work on the Central Industrial Area, and the development of Polish economy as a whole. Sztafeta, with 520 pages, is the result of his work. Mariusz Grabowski of Polska The Times daily wrote in February 2012 that Sztafeta reads like a ""national fairly tale, whose every page is a masterpiece, praising Minister Eugeniusz Kwiatkowski, and the Sanacja government"".Sztafeta, based on the 1939 original copy, together with a number of photographs and maps by prewar graphic designer Mieczysław Berman, was republished in February 2012 by the Warsaw publishing house Prószyński i spółka (whose founder Mieczysław Prószyński is a grandson of Konrad Prószyński), as the 16th volume of collected works of Melchior Wańkowicz."
uri,http://dbpedia.org/resource/The_Architecture_of_Fear,literal,en,The Architecture of Fear,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Fantasy,literal,en,"The Architecture of Fear is an anthology of horror stories edited by Peter D. Pautz and Kathryn Cramer. It was published by Arbor House in October 1987. The anthology contains, among several other stories, the Gene Wolfe short story ""In the House of Gingerbread"", which was original to the anthology and was nominated for a World Fantasy Award for Best Short Story. The anthology itself won the 1988 World Fantasy Award for Best Anthology."
uri,http://dbpedia.org/resource/The_Architecture_of_Fear,literal,en,The Architecture of Fear,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Horror fiction,literal,en,"The Architecture of Fear is an anthology of horror stories edited by Peter D. Pautz and Kathryn Cramer. It was published by Arbor House in October 1987. The anthology contains, among several other stories, the Gene Wolfe short story ""In the House of Gingerbread"", which was original to the anthology and was nominated for a World Fantasy Award for Best Short Story. The anthology itself won the 1988 World Fantasy Award for Best Anthology."
uri,http://dbpedia.org/resource/Year's_Best_SF_10,literal,en,Year's Best SF 10,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 10 (ISBN 0-06-057561-1) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in 2005.  It is the tenth in the Year's Best SF series.
uri,http://dbpedia.org/resource/Year's_Best_SF_12,literal,en,Year's Best SF 12,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 12 (ISBN 0-06-125208-5) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in 2007.  It is the twelfth in the Year's Best SF series.
uri,http://dbpedia.org/resource/Year's_Best_SF_11,literal,en,Year's Best SF 11,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 11 (ISBN 0-06-087341-8) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in 2006.  It is the eleventh in the Year's Best SF series.
uri,http://dbpedia.org/resource/Year's_Best_SF_7,literal,en,Year's Best SF 7,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 7 (ISBN 0-06-106143-3) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in 2002.  It is the seventh in the Year's Best SF series.
uri,http://dbpedia.org/resource/Year's_Best_SF_8,literal,en,Year's Best SF 8,literal,en,Kathryn Cramer,literal,en,Hard science fiction,literal,en,Science fiction,literal,en,Year's Best SF 8 (ISBN 0-06-106453-X) is a science fiction anthology edited by David G. Hartwell and Kathryn Cramer that was published in 2003.  It is the eighth in the Year's Best SF series.
